ID,MUNICIPIO,ID2,Departamento,lat,lon
25797,TENA,25,Cundinamarca,4.7,-74.4166667
47798,TENERIFE,47,Magdalena,10,-74.6666667
25799,TENJO,25,Cundinamarca,4.9166667,-74.1666667
15798,TENZA,15,Boyac?¡,5.15,-73.45
54800,TEORAMA,54,Norte de Santander,8.75,-73.1666667
41801,TERUEL,41,Huila,2.9166667,-75.6666667
41797,TESALIA,41,Huila,2.6666667,-75.75
25805,TIBACUY,25,Cundinamarca,4.3833333,-74.5
15804,TIBAN?¡,15,Boyac?¡,5.3333333,-73.3833333
15806,TIBASOSA,15,Boyac?¡,5.8333333,-72.9666667
25807,TIBIRITA,25,Cundinamarca,5.1333333,-73.5333333
54810,TIB?º,54,Norte de Santander,8.6480556,-72.7394444
23807,TIERRALTA,23,C?³rdoba,8.1736111,-76.0591667
41807,TIMAN?¡,41,Huila,2,-75.9166667
19809,TIMBIQU?­,19,Cauca,2.75,-77.5833333
19807,TIMB?­O,19,Cauca,2.4166667,-76.75
15808,TINJAC?¡,15,Boyac?¡,5.6333333,-73.65
15810,TIPACOQUE,15,Boyac?¡,6.4233333,-72.6952778
13810,TIQUISIO (PUERTO RICO),13,Bol?­var,8.5597222,-74.2669444
5809,TITIRIB?­,5,Antioquia,6.0833333,-75.8
15814,TOCA,15,Boyac?¡,5.6666667,-73.1666667
25815,TOCAIMA,25,Cundinamarca,4.5,-74.6666667
25817,TOCANCIP?¡,25,Cundinamarca,5,-73.9166667
15816,TOGU?­,15,Boyac?¡,5.95,-73.4166667
5819,TOLEDO,5,Antioquia,7,-75.7
54820,TOLEDO,54,Norte de Santander,7.3,-72.25
70820,TOL?º,70,Sucre,9.5,-75.5333333
70823,TOL?º VIEJO,70,Sucre,,
68820,TONA,68,Santander,7.25,-72.9
15820,TOPAG?¡,15,Boyac?¡,5.8333333,-72.8333333
25823,TOPAIP?­,25,Cundinamarca,5.4166667,-74.3333333
19821,TORIB?­O,19,Cauca,3,-76.1666667
76823,TORO,76,Valle del Cauca,4.6116667,-76.0813889
15822,TOTA,15,Boyac?¡,5.5,-73
19824,TOTOR?³,19,Cauca,2.5833333,-76.3333333
85430,TRINIDAD,85,Casanare,5.4305556,-71.6311111
76828,TRUJILLO,76,Valle del Cauca,4.25,-76.3333333
